model,mae_15 min,mape_15 min,rmse_15 min,mae_30 min,mape_30 min,rmse_30 min,mae_1 hour,mape_1 hour,rmse_1 hour
STGFORMER_CHEB_TCN_XAVIER,2.584571123123169,0.0653735771775245,4.83679290256213,2.8276588916778564,0.0744023919105529,5.528491868115158,3.1428587436676025,0.0863902196288108,6.373621174418825
STGFORMER_CHEB_TCN_DOW,2.5631449222564697,0.0647021681070327,4.801868734577843,2.795174121856689,0.0734711661934852,5.485392679851904,3.080563306808472,0.0846154764294624,6.278924464073215
STGFORMER_BS200_EXCLUDE_MISSING,2.607684850692749,0.0663013532757759,4.929358034565411,2.8579111099243164,0.0754933804273605,5.637012286351653,3.1649720668792725,0.0872985199093818,6.458352398587871
STGFORMER_PRETRAIN_IMPUTE_NORM,2.7220470905303955,0.0658706724643707,5.2425515152233375,2.958726406097412,0.0735796615481376,5.848778504222491,3.2714054584503174,0.084129586815834,6.599962823936492
STGFORMER_PRETRAIN_IMPUTE_NORM_LR0.0003,2.9078943729400635,0.0683166906237602,5.874478256108719,3.2806074619293213,0.078113242983818,6.840664660189393,3.773351907730103,0.0912482291460037,7.976678711047433
STGFORMER_PRETRAIN_STAGE1ONLY_NORM,2.6416730880737305,0.0666716992855072,4.996704923157993,2.9011571407318115,0.0762063264846801,5.721755941872181,3.230823278427124,0.0883316844701767,6.577331060127027
STGFORMER_PRETRAIN_STAGE1ONLY_NORM_IMPUTE,2.794707059860229,0.0689423754811286,5.532100116466476,3.101553678512573,0.0790959969162941,6.298495025107095,3.483473539352417,0.0918938815593719,7.162938353221447
STGFORMER_PRETRAIN_STAGE2ONLY_NORM,2.624213457107544,0.0660471767187118,4.911696017336948,2.8722116947174072,0.074485071003437,5.586913465057432,3.203020095825196,0.0849828794598579,6.411431724396026
STGFORMER_PRETRAIN_STAGE2ONLY_NORM_IMPUTE,3.023784637451172,0.071511834859848,6.601949357655276,3.430673360824585,0.0825531110167503,7.664165033399247,3.945111989974976,0.0964666008949279,8.762459739342244
STGFORMER_CHEB_TCN_XAVIER_DOW,2.7564573287963867,0.0718036815524101,5.184771084270651,3.027155876159668,0.0819771960377693,5.938859001031331,3.430924654006958,0.098585270345211,6.940133359655611
